"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Client","0","CRUD operations","6","0","Positive testing","0"
"0","API Client","2","CRUD operations","1","0","Negative testing","0"
